file,line,column,message,severity,rule_id
../../Preprocessed/NoRename/CWE-22/php/bad_1152_0,39,22,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
../../Preprocessed/NoRename/CWE-22/php/bad_1152_0,40,15,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
../../Preprocessed/NoRename/CWE-22/php/bad_1158_0,64,20,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
../../Preprocessed/NoRename/CWE-22/php/bad_1158_0,65,17,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
../../Preprocessed/NoRename/CWE-22/php/bad_1158_0,83,40,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
../../Preprocessed/NoRename/CWE-22/php/bad_1158_0,215,18,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
../../Preprocessed/NoRename/CWE-22/php/bad_1158_0,218,17,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
../../Preprocessed/NoRename/CWE-22/php/bad_1158_0,266,15,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
../../Preprocessed/NoRename/CWE-22/php/bad_3329_0,55,13,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
../../Preprocessed/NoRename/CWE-22/php/bad_3329_0,61,20,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
../../Preprocessed/NoRename/CWE-22/php/bad_3329_0,67,30,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
../../Preprocessed/NoRename/CWE-22/php/bad_3329_0,68,57,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
../../Preprocessed/NoRename/CWE-22/php/bad_3329_0,68,76,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
../../Preprocessed/NoRename/CWE-22/php/bad_3329_0,69,68,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
../../Preprocessed/NoRename/CWE-22/php/bad_3329_0,69,87,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
../../Preprocessed/NoRename/CWE-22/php/bad_3329_0,70,40,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
../../Preprocessed/NoRename/CWE-22/php/bad_3329_0,71,40,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
../../Preprocessed/NoRename/CWE-22/php/bad_3329_0,72,44,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
../../Preprocessed/NoRename/CWE-22/php/bad_3329_0,106,46,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
../../Preprocessed/NoRename/CWE-22/php/bad_3329_0,107,38,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
../../Preprocessed/NoRename/CWE-22/php/bad_3329_0,111,11,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
../../Preprocessed/NoRename/CWE-22/php/bad_3623_0,67,29,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
../../Preprocessed/NoRename/CWE-22/php/bad_3623_0,68,33,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
../../Preprocessed/NoRename/CWE-22/php/bad_3623_0,74,59,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
../../Preprocessed/NoRename/CWE-22/php/bad_3623_0,108,29,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
../../Preprocessed/NoRename/CWE-22/php/bad_3623_1,67,29,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
../../Preprocessed/NoRename/CWE-22/php/bad_3623_1,68,33,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
../../Preprocessed/NoRename/CWE-22/php/bad_3623_1,74,59,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
../../Preprocessed/NoRename/CWE-22/php/bad_3623_1,108,29,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
../../Preprocessed/NoRename/CWE-22/php/bad_3624_0,70,29,File name based on user input risks server-side request forgery.,WARNING,php.lang.security.injection.tainted-filename.tainted-filename
